arabic,transliteration,uz,ru,category,lesson_id
بَيْت,bayt,uy,дом,Uy va oila,1
غُرْفَة,ghurfa,xona,комната,Uy va oila,1
مَطْبَخ,matbakh,oshxona,кухня,Uy va oila,1
حَمَّام,hammam,hammom,ванная,Uy va oila,1
أَب,ab,ota,отец,Uy va oila,1
أُم,umm,ona,мать,Uy va oila,1
أَخ,akh,aka/uka,брат,Uy va oila,1
أُخْت,ukht,opa/singil,сестра,Uy va oila,1
مَدْرَسَة,madrasa,maktab,школа,Ta’lim,2
طَالِب,talib,o‘quvchi,ученик,Ta’lim,2
مُعَلِّم,muallim,o‘qituvchi,учитель,Ta’lim,2
كِتَاب,kitab,kitob,книга,Ta’lim,2
دَفْتَر,daftar,daftar,тетрадь,Ta’lim,2
قَلَم,qalam,ruchka,ручка,Ta’lim,2
جَامِعَة,jamia,universitet,университет,Ta’lim,2
سُوق,suq,bozor,рынок,Kundalik,3
مَتْجَر,matjar,do‘kon,магазин,Kundalik,3
مَال,mal,pul,деньги,Kundalik,3
طَعَام,ta‘am,ovqat,еда,Oziq-ovqat,3
مَاء,ma’,suv,вода,Oziq-ovqat,3
خُبْز,khubz,non,хлеб,Oziq-ovqat,3
شَاي,shay,choy,чай,Oziq-ovqat,3
قَهْوَة,qahwa,qahva,кофе,Oziq-ovqat,3
لَحْم,lahm,go‘sht,мясо,Oziq-ovqat,3
فَاكِهَة,fakiha,meva,фрукты,Oziq-ovqat,3
ذَهَبَ,dhahaba,bordi,пошёл,Fe’llar,4
جَاءَ,jaa,keldi,пришёл,Fe’llar,4
أَكَلَ,akala,yedi,ел,Fe’llar,4
شَرِبَ,shariba,ichdi,пил,Fe’llar,4
نَامَ,naama,uxladi,спал,Fe’llar,4
قَامَ,qama,turdi,встал,Fe’llar,4
كَتَبَ,kataba,yozdi,писал,Fe’llar,4
قَرَأَ,qaraa,o‘qidi,читал,Fe’llar,4
كَبِير,kabir,kattа,большой,Sifatlar,5
صَغِير,saghir,kichik,маленький,Sifatlar,5
جَمِيل,jamil,chiroyli,красивый,Sifatlar,5
قَبِيح,qabih,xunuk,некрасивый,Sifatlar,5
جَدِيد,jadid,yangi,новый,Sifatlar,5
قَدِيم,qadim,eski,старый,Sifatlar,5
سَرِيع,sari‘,tez,быстрый,Sifatlar,5
بَطِيء,bati’,sekin,медленный,Sifatlar,5
نَعَم,na‘am,ha,да,So‘zlashuv,6
لَا,la,yo‘q,нет,So‘zlashuv,6
مِنْ Fَضْلِك,min fadlik,iltimos,пожалуйста,So‘zlashuv,6
شُكْرًا,shukran,rahmat,спасибо,So‘zlashuv,6
arabic,transliteration,uz,ru,category,lesson_id
سَيَّارَة,sayyara,mashina,машина,Transport,7
حَافِلَة,haafila,avtobus,автобус,Transport,7
قِطَار,qitar,poyezd,поезд,Transport,7
دَرَّاجَة,darraaja,velosiped,велосипед,Transport,7
طَائِرَة,taa'ira,samolyot,самолёт,Transport,7
مَطَار,matar,aeroport,аэропорт,Transport,7
مِحَطَّة,mihatta,stansiya,станция,Transport,7
طَرِيق,tariq,yo‘l,дорога,Transport,7
إِشَارَة,ishaara,svetofor,светофор,Transport,7
تَذْكِرَة,tadhkira,chiptа,билет,Transport,7
سَائِق,saa'iq,haydovchi,водитель,Transport,7
مُسَافِر,musaafir,yo‘lovchi,пассажир,Transport,7
وُصُول,wusul,kelish,прибытие,Transport,7
مُغَادَرَة,mughaadara,jo‘nash,отправление,Transport,7
مُنْعَطَف,mun'ataf,burilish,поворот,Transport,7
سِرْعَة,sir'a,tezlik,скорость,Transport,7
حَادِث,haadith,avariya,авария,Transport,7
وُقُود,wuquud,yoqilg‘i,топливо,Transport,7
مَحَطَّةُ وَقُود,mahattat wuquud,benzin zapravka,заправка,Transport,7
مِرْآة,mir'aa,oyna,зеркало,Transport,7
مِفْتَاح,miftaah,kalit,ключ,Transport,7
فَرَامِل,faraamil,tormoz,тормоз,Transport,7
مُحَرِّك,muharrik,dvigatel,двигатель,Transport,7
إِطَار,itar,shina,шина,Transport,7
مِقْوَد,miqwad,rul,руль,Transport,7
جِسْر,jisr,ko‘prik,мост,Transport,7
نَفَق,nafaq,tunnel,туннель,Transport,7
مَفْتَرَق,maftaraq,chorraha,перекрёсток,Transport,7
مَوْقِف,mawqif,parkovka,парковка,Transport,7
خَارِطَة,khaarita,xarita,карта,Transport,7
اتِّجَاه,ittijaah,yo‘nalish,направление,Transport,7
قُرْب,qurb,yaqin,рядом,Transport,7
بَعِيد,ba'iid,uzoq,далеко,Transport,7
يَمِين,yamiin,o‘ng,право,Transport,7
يَسَار,yasaar,chap,лево,Transport,7
أَمَام,amaam,oldinda,впереди,Transport,7
خَلْف,khalf,orqada,сзади,Transport,7
فَوْق,fawq,ustida,сверху,Transport,7
تَحْت,taht,ostida,снизу,Transport,7
دَاخِل,daakhil,ichida,внутри,Transport,7
خَارِج,khaarij,tashqarida,снаружи,Transport,7
قَرِيب,qariib,yaqin,близко,Transport,7
بِسُرْعَة,bisur'a,tezda,быстро,Transport,7
بِبُطْء,bibut',sekin,медленно,Transport,7
اِنْتَظَرَ,intazara,kutdi,ждал,Transport,7
رَكِبَ,rakiba,mingdi,сел (в транспорт),Transport,7
نَزَلَ,nazala,tushdi,вышел,Transport,7
سَافَرَ,saafara,safar qildi,путешествовал,Transport,7
وَصَلَ,wasala,yetib keldi,прибыл,Transport,7
اِسْم,is'm,ism,имя,So‘zlashuv,8
لُغَة,lugha,til,язык,So‘zlashuv,8
كَلِمَة,kalima,so‘z,слово,So‘zlashuv,8
جُمْلَة,jumla,jumla,предложение,So‘zlashuv,8
مَعْنَى,ma'na,ma’no,значение,So‘zlashuv,8
سُؤَال,su'aal,savol,вопрос,So‘zlashuv,8
جَوَاب,jawaab,javob,ответ,So‘zlashuv,8
مَاذَا,maadhaa,nima,что,So‘zlashuv,8
مَنْ,man,kim,кто,So‘zlashuv,8
أَيْن,ayn,qayerda,где,So‘zlashuv,8
مَتَى,mataa,qachon,когда,So‘zlashuv,8
لِمَاذَا,limaadhaa,nima uchun,почему,So‘zlashuv,8
كَيْف,kayf,qanday,как,So‘zlashuv,8
كَمْ,kam,nechta,сколько,So‘zlashuv,8
هَذَا,haadhaa,bu (m),это,So‘zlashuv,8
هَذِهِ,haadhihi,bu (f),это,So‘zlashuv,8
هُنَاك,hunaak,u yerda,там,So‘zlashuv,8
هُنَا,hunaa,bu yerda,здесь,So‘zlashuv,8
جَيِّد,jayyid,yaxshi,хорошо,So‘zlashuv,8
سَيِّئ,sayyi',yomon,плохо,So‘zlashuv,8
صَحِيح,sahiih,to‘g‘ri,правильно,So‘zlashuv,8
خَطَأ,khata',xato,ошибка,So‘zlashuv,8
مُمْتَاز,mumtaaz,a’lo,отлично,So‘zlashuv,8
حَسَن,hasan,yaxshi,хороший,So‘zlashuv,8
سَهْل,sahl,oson,легко,So‘zlashuv,8
صَعْب,sa'b,qiyin,трудно,So‘zlashuv,8
أُحِبُّ,uhibbu,yoqtiraman,люблю,So‘zlashuv,8
لَا أُحِبُّ,la uhibbu,yoqtirmayman,не люблю,So‘zlashuv,8
أُرِيدُ,uriidu,xohlayman,хочу,So‘zlashuv,8
لَا أُرِيدُ,la uriidu,xohlamayman,не хочу,So‘zlashuv,8
أَفْهَمُ,afhamu,tushunaman,понимаю,So‘zlashuv,8
لَا أَفْهَمُ,la afhamu,tushunmayman,не понимаю,So‘zlashuv,8
أَعْرِفُ,a'rifu,bilaman,знаю,So‘zlashuv,8
لَا أَعْرِفُ,la a'rifu,bilmayman,не знаю,So‘zlashuv,8
اِسْمَع,isma',eshit,слушай,So‘zlashuv,8
اُنْظُر,unzur,qarang,смотри,So‘zlashuv,8
تَفَضَّل,tafaddal,marhamat,пожалуйста,So‘zlashuv,8
عَفْوًا,afwan,kechirasiz,извините,So‘zlashuv,8
آسِف,aasif,afsus (erkak),извиняюсь,So‘zlashuv,8
آسِفَة,aasifa,afsus (ayol),извиняюсь,So‘zlashuv,8
مَرْحَبًا,marhaban,salom,здравствуйте,So‘zlashuv,8
أَهْلًا,ahlan,xush kelibsiz,добро пожаловать,So‘zlashuv,8
إِلَى اللِّقَاءِ,ila al-liqaa',xayr,до свидания,So‘zlashuv,8
صَبَاحُ الْخَيْر,sabaahul-khayr,xayrli tong,доброе утро,So‘zlashuv,8
مَسَاءُ الْخَيْر,masaa'ul-khayr,xayrli kech,добрый вечер,So‘zlashuv,8
تَشَرَّفْنَا,tasharrafnaa,tanishganimdan xursandman,приятно познакомиться,So‘zlashuv,8
بِصِحَّة,bisihha,marhamat (ovqatga),приятного аппетита,So‘zlashuv,8
صَحَّة,sihha,sog‘liq,здоровье,So‘zlashuv,8
مُسَاعَدَة,musaa'ada,yordam,помощь,So‘zlashuv,8
مُمْكِن,mumkin,mumkin,возможно,So‘zlashuv,8
غَيْرُ مُمْكِن,ghayru mumkin,mumkin emas,невозможно,So‘zlashuv,8
اِفْتَح,iftah,och,открой,So‘zlashuv,8
اُغْلِق,ughliq,yop,закрой,So‘zlashuv,8
صُورَة,suura,rasm,фото,Raqamli hayot,9
هَاتِف,haatif,telefon,телефон,Raqamli hayot,9
هَاتِف ذَكِيّ,haatif dhakiyy,smartfon,смартфон,Raqamli hayot,9
حَاسُوب,haasuub,kompyuter,компьютер,Raqamli hayot,9
حَاسُوب مَحْمُول,haasuub mahmuul,noutbuk,ноутбук,Raqamli hayot,9
شَاشَة,shaasha,ekran,экран,Raqamli hayot,9
لَوْحَة,mauha?,planshet,планшет,Raqamli hayot,9
مُتَصَفِّح,mutasaffih,brauzer,браузер,Raqamli hayot,9
إِنْتَرْنِت,internet,internet,интернет,Raqamli hayot,9
